"time","height","velocity","der(height)","der(velocity)"
7.42,-260.0516420000023,72.7902,-72.7902,9.81
7.44,-261.5094080000024,72.9864,-72.9864,9.81
7.46,-262.9710980000023,73.18260000000001,-73.18260000000001,9.81
7.48,-264.4367120000024,73.37880000000001,-73.37880000000001,9.81
7.5,-265.9062500000023,73.575,-73.575,9.81
7.52,-267.3797120000023,73.77120000000001,-73.77120000000001,9.81
7.54,-268.8570980000023,73.96740000000001,-73.96740000000001,9.81
7.56,-270.3384080000023,74.1636,-74.1636,9.81
7.58,-271.8236420000023,74.35980000000001,-74.35980000000001,9.81
7.6,-273.3128000000023,74.55600000000001,-74.55600000000001,9.81
7.62,-274.8058820000023,74.75220000000002,-74.75220000000002,9.81
7.64,-276.3028880000023,74.94840000000001,-74.94840000000001,9.81
7.66,-277.8038180000024,75.14460000000001,-75.14460000000001,9.81
7.68,-279.3086720000023,75.3408,-75.3408,9.81
7.7,-280.8174500000024,75.53700000000001,-75.53700000000001,9.81
7.72,-282.3301520000023,75.73320000000001,-75.73320000000001,9.81
7.74,-283.8467780000024,75.92940000000002,-75.92940000000002,9.81
7.76,-285.3673280000023,76.12560000000001,-76.12560000000001,9.81
7.78,-286.8918020000024,76.32180000000001,-76.32180000000001,9.81
7.8,-288.4202000000023,76.518,-76.518,9.81
7.82,-289.9525220000024,76.71420000000001,-76.71420000000001,9.81
7.84,-291.4887680000023,76.91040000000001,-76.91040000000001,9.81
7.86,-293.0289380000024,77.10660000000001,-77.10660000000001,9.81
7.88,-294.5730320000023,77.3028,-77.3028,9.81
7.9,-296.1210500000024,77.49900000000001,-77.49900000000001,9.81
7.92,-297.6729920000024,77.6952,-77.6952,9.81
7.94,-299.2288580000023,77.8914,-77.8914,9.81
7.96,-300.7886480000024,78.08760000000001,-78.08760000000001,9.81
7.98,-302.3523620000024,78.28380000000001,-78.28380000000001,9.81
8,-303.9200000000023,78.48,-78.48,9.81
8.02,-305.4915620000023,78.67620000000001,-78.67620000000001,9.81
8.039999999999999,-307.0670480000023,78.8724,-78.8724,9.81
8.06,-308.6464580000024,79.06860000000002,-79.06860000000002,9.81
8.08,-310.2297920000024,79.26480000000001,-79.26480000000001,9.81
8.1,-311.8170500000023,79.461,-79.461,9.81
8.119999999999999,-313.4082320000023,79.6572,-79.6572,9.81
8.140000000000001,-315.0033380000024,79.85340000000001,-79.85340000000001,9.81
8.16,-316.6023680000024,80.04960000000001,-80.04960000000001,9.81
8.18,-318.2053220000024,80.2458,-80.2458,9.81
